Pressure, Altitude, Temperature
84581.75, 1570.4614633402, 19.0
84582.25, 1570.2739604791334, 19.0
84588.5, 1570.1489585717557, 19.0
84581.75, 1570.2114595254445, 19.0
84588.0, 1570.4614633402, 19.0
84585.0, 1570.1489585717557, 19.0
84589.75, 1570.1489585717557, 19.0625
84586.25, 1570.3364614328223, 19.0
84588.75, 1570.3364614328223, 19.0
84586.5, 1570.0864576180668, 19.0
84588.25, 1570.5239642938889, 19.0
84592.5, 1570.2114595254445, 19.0625
84588.75, 1570.2739604791334, 19.0
84593.5, 1569.8364538033113, 19.0625
84589.0, 1569.961455710689, 19.0625
84593.5, 1569.961455710689, 19.0625
84590.25, 1569.8989547570002, 19.0625
84595.25, 1569.8364538033113, 19.0625
84588.0, 1569.961455710689, 19.0625
84594.75, 1569.961455710689, 19.0625
84591.0, 1569.7114518959336, 19.0625
84592.75, 1569.8364538033113, 19.0625
84590.75, 1569.7739528496224, 19.0625
84596.5, 1569.5864499885558, 19.125
84588.25, 1569.7114518959336, 19.125
84588.25, 1569.7114518959336, 19.0625
84593.25, 1569.6489509422447, 19.125
84593.5, 1569.961455710689, 19.0625
84593.5, 1569.8364538033113, 19.125
84592.75, 1569.8989547570002, 19.0625
